 	0-1                                                                                                                                                                                                                                                                                                         	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	Zero                                                                                                                                                                                                                                                                                                        	
Period	Occupation_OFFICE_NE     	Q_heat_OFFICE_NE         	Q_lat_hu_OFFICE_NE       	Q_al_ht_OFFICE_NE        	Q_ahu_sen_ht_OFFICE_NE   	Q_ahu_sen_dh_ht_OFFICE_NE	Q_ahu_lat_hu_OFFICE_NE   	Q_dhw_OFFICE_NE          	Q_tot_ht_OFFICE_NE       	Q_cool_OFFICE_NE         	Q_lat_dh_OFFICE_NE       	Q_al_cl_OFFICE_NE        	Q_ahu_sen_cl_OFFICE_NE   	Q_ahu_dh_cl_OFFICE_NE    	Q_tot_cl_OFFICE_NE       	Q_light_el_OFFICE_NE     	Q_equip_el_OFFICE_NE     	Q_misc_el_OFFICE_NE      	Q_al_el_OFFICE_NE        	Q_ahu_el_OFFICE_NE       	Q_tot_el_OFFICE_NE       	Q_solabs_OFFICE_NE       	Q_intgain_OFFICE_NE      	Q_surf_OFFICE_NE         	Q_inf_OFFICE_NE          	Q_vent_OFFICE_NE         	Q_coup_OFFICE_NE         	Q_solair_OFFICE_NE       	Zero                     	
     13.0000       1.0000      12.6525       0.0000       0.0000       7.5902       0.0000       2.1980       0.0000      22.4406       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.1034      17.4475     -18.6941     -11.8027       2.6921       0.0000       0.1113       0.0000
     14.0000       1.0000      11.8335       0.0000       0.0000       7.6717       0.0000       2.2928       0.0000      21.7980       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.0750      17.4475     -17.8000     -11.8375       2.7591       0.0000       0.1084       0.0000
     15.0000       1.0000      11.7224       0.0000       0.0000       7.7062       0.0000       2.3162       0.0000      21.7447       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.9197      17.4475     -17.4293     -11.8280       2.7976       0.0000       0.0927       0.0000
     16.0000       1.0000      12.9144       0.0000       0.0000       7.6881       0.0000       2.3788       0.0000      22.9813       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.5560      17.4475     -17.9226     -11.8607       2.7659       0.0000       0.0560       0.0000
     17.0000       1.0000       5.3812       0.0000       0.0000       7.7809       0.0000       2.4004       0.0000      15.5625       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.0921      27.4498     -21.1654     -11.8956       2.8442       0.0000       0.0093       0.0000
     18.0000       1.0000       6.0836       0.0000       0.0000       7.7792       0.0000       2.3430       0.0000      16.2058       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.0000      27.4498     -21.3061     -11.9244       2.8306       0.0000       0.0000       0.0000
     19.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       3.4316     -10.8108       0.0000       0.0000       0.0000       0.0000
     20.0000       0.0000       1.4950       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.4950       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       8.7794     -10.2113       0.0000       0.0000       0.0000       0.0000
     21.0000       0.0000       9.1395       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       9.1395       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       2.9353     -10.1684       0.0000       0.0000       0.0000       0.0000
     22.0000       0.0000      14.9292       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      14.9292       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -3.0343     -10.3707       0.0000       0.0000       0.0000       0.0000
     23.0000       0.0000      18.3221       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      18.3221       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -6.2172     -10.6031       0.0000       0.0000       0.0000       0.0000
     24.0000       0.0000      20.6977       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      20.6977       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -8.4684     -10.7940       0.0000       0.0000       0.0000       0.0000
     25.0000       0.0000      22.7809       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      22.7809       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -10.3203     -11.0084       0.0000       0.0000       0.0000       0.0000
     26.0000       0.0000      24.5809       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      24.5809       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -11.9398     -11.1890       0.0000       0.0000       0.0000       0.0000
     27.0000       0.0000      25.8886       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      25.8886       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -13.3030     -11.1832       0.0000       0.0000       0.0000       0.0000
     28.0000       0.0000      27.2190       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      27.2190       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -14.5093     -11.2968       0.0000       0.0000       0.0000       0.0000
     29.0000       0.0000      28.3894       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      28.3894       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -15.5736     -11.3996       0.0000       0.0000       0.0000       0.0000
     30.0000       0.0000      29.5047       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      29.5047       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -16.5367     -11.5342       0.0000       0.0000       0.0000       0.0000
     31.0000       0.0000      30.5378       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      30.5378       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -17.4138     -11.6733       0.0000       0.0000       0.0000       0.0000
     32.0000       0.0000      31.4946       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      31.4946       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -18.2132     -11.8104       0.0000       0.0000       0.0000       0.0000
     33.0000       1.0000      58.0688       0.0000       0.0000       7.9414       0.0000       3.1860       0.0000      69.1961       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.6216      27.4498     -59.4850     -14.0908       1.3571       0.0000       0.0599       0.0000
     34.0000       1.0000      42.3538       0.0000       0.0000       7.7867       0.0000       3.2923       0.0000      53.4328       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.5006      10.3858       1.5003       0.0000       1.3416      15.7284       0.7536      19.9480     -47.5741     -13.9652       1.3840       0.0000       0.0752       0.0000
     35.0000       1.0000      33.9526       0.0000       0.0000       7.6191       0.0000       3.3290       0.0000      44.9007       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.9855      17.4475     -37.4700     -13.4507       1.7273       0.0000       0.0991       0.0000
     36.0000       1.0000      29.2686       0.0000       0.0000       7.3579       0.0000       3.2851       0.0000      39.9116       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.1390      17.4475     -33.4229     -13.0154       1.9390       0.0000       0.1147       0.0000
     37.0000       1.0000      27.3515       0.0000       0.0000       7.5288       0.0000       3.4686       0.0000      38.3489       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.0227      17.4475     -31.2103     -13.0127       2.0457       0.0000       0.1030       0.0000
     38.0000       1.0000      25.9114       0.0000       0.0000       7.4875       0.0000       3.4302       0.0000      36.8291       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.0076      17.4475     -29.8850     -12.9038       2.1129       0.0000       0.1015       0.0000
     39.0000       1.0000      24.9593       0.0000       0.0000       7.4896       0.0000       3.3962       0.0000      35.8451       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.9156      17.4475     -28.9534     -12.8327       2.1629       0.0000       0.0922       0.0000
     40.0000       1.0000      25.4731       0.0000       0.0000       7.6255       0.0000       3.4806       0.0000      36.5792       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.5652      17.4475     -28.6931     -12.9407       2.1538       0.0000       0.0569       0.0000
     41.0000       1.0000      17.3077       0.0000       0.0000       8.0700       0.0000       3.6626       0.0000      29.0404       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.0988      27.4498     -31.1680     -13.0833       2.2576       0.0000       0.0099       0.0000
     42.0000       1.0000      17.5724       0.0000       0.0000       8.4310       0.0000       3.9352       0.0000      29.9386       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.0000      27.4498     -30.6481     -13.2899       2.2667       0.0000       0.0000       0.0000
     43.0000       0.0000       1.0468       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.0468       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       1.3256     -11.9297       0.0000       0.0000       0.0000       0.0000
     44.0000       0.0000      11.4649       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      11.4649       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003       3.5933     -12.0351       0.0000       0.0000       0.0000       0.0000
     45.0000       0.0000      22.5535       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      22.5535       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -7.4309     -12.8300       0.0000       0.0000       0.0000       0.0000
     46.0000       0.0000      27.1778       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      27.1778       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -11.8404     -13.1890       0.0000       0.0000       0.0000       0.0000
     47.0000       0.0000      30.6848       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      30.6848       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -14.5254     -13.8570       0.0000       0.0000       0.0000       0.0000
     48.0000       0.0000      33.4314       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      33.4314       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -16.6391     -14.4553       0.0000       0.0000       0.0000       0.0000
     49.0000       0.0000      35.1921       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      35.1921       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -18.2963     -14.5988       0.0000       0.0000       0.0000       0.0000
     50.0000       0.0000      37.1181       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      37.1181       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -19.7750     -14.9707       0.0000       0.0000       0.0000       0.0000
     51.0000       0.0000      38.3796       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      38.3796       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -20.9993     -15.0527       0.0000       0.0000       0.0000       0.0000
     52.0000       0.0000      39.4068       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      39.4068       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -22.0187     -15.0728       0.0000       0.0000       0.0000       0.0000
     53.0000       0.0000      40.9795       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      40.9795       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -23.0413     -15.4996       0.0000       0.0000       0.0000       0.0000
     54.0000       0.0000      41.9133       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      41.9133       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -23.9358     -15.5719       0.0000       0.0000       0.0000       0.0000
     55.0000       0.0000      42.7827       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      42.7827       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -24.7348     -15.6479       0.0000       0.0000       0.0000       0.0000
     56.0000       0.0000      43.2622       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      43.2622       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -25.3706     -15.5461       0.0000       0.0000       0.0000       0.0000
     57.0000       1.0000      70.0337       0.0000       0.0000      13.1165       0.0000       5.6416       0.0000      88.7918       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.6195      27.4498     -66.4753     -17.7710       0.8902       0.0000       0.0593       0.0000
     58.0000       1.0000      53.3344       0.0000       0.0000      11.9853       0.0000       5.2715       0.0000      70.5912       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.5006      10.3858       1.5003       0.0000       1.3416      15.7284       0.8117      19.9480     -54.3865     -17.0300       0.9396       0.0000       0.0806       0.0000
     59.0000       1.0000      44.1391       0.0000       0.0000      10.7124       0.0000       4.9138       0.0000      59.7653       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.8858      17.4475     -44.1433     -15.8409       1.2900       0.0000       0.0886       0.0000
     60.0000       1.0000      38.3254       0.0000       0.0000       9.3834       0.0000       4.7459       0.0000      52.4547       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.0225      17.4475     -39.9291     -14.7677       1.5163       0.0000       0.1025       0.0000
     61.0000       1.0000      35.6027       0.0000       0.0000       9.3587       0.0000       4.9787       0.0000      49.9401       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       1.0235      17.4475     -37.2778     -14.5774       1.6619       0.0000       0.1027       0.0000
     62.0000       1.0000      33.8641       0.0000       0.0000       9.3580       0.0000       5.1115       0.0000      48.3337       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.9975      17.4475     -35.6125     -14.4684       1.7520       0.0000       0.1001       0.0000
     63.0000       1.0000      33.0169       0.0000       0.0000       9.3492       0.0000       5.1059       0.0000      47.4720       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.8643      17.4475     -34.6222     -14.4053       1.8000       0.0000       0.0867       0.0000
     64.0000       1.0000      34.1318       0.0000       0.0000      10.3261       0.0000       5.3758       0.0000      49.8337       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.3858       1.5003       0.0000       1.3416      13.2278       0.5710      17.4475     -34.3997     -15.0068       1.7892       0.0000       0.0572       0.0000
     65.0000       1.0000      26.3818       0.0000       0.0000      11.0503       0.0000       5.4407       0.0000      42.8728       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.1164      27.4498     -37.0311     -15.3365       1.8776       0.0000       0.0117       0.0000
     66.0000       1.0000      26.8491       0.0000       0.0000      11.6192       0.0000       5.4770       0.0000      43.9453       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0023      10.3858       1.5003       0.0000       1.3416      23.2301       0.0000      27.4498     -36.5817     -15.6776       1.8790       0.0000       0.0000       0.0000
     67.0000       0.0000       5.9327       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       5.9327       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -0.4401     -14.1918       0.0000       0.0000       0.0000       0.0000
     68.0000       0.0000      20.7124       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      20.7124       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003      -3.4552     -14.0982       0.0000       0.0000       0.0000       0.0000
     69.0000       0.0000      30.4793       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      30.4793       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -13.4710     -14.4388       0.0000       0.0000       0.0000       0.0000
     70.0000       0.0000      34.6074       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      34.6074       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -17.3362     -14.7655       0.0000       0.0000       0.0000       0.0000
     71.0000       0.0000      37.2173       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      37.2173       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -19.6258     -15.1323       0.0000       0.0000       0.0000       0.0000
     72.0000       0.0000      39.3609       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      39.3609       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -21.3610     -15.4761       0.0000       0.0000       0.0000       0.0000
     73.0000       0.0000      41.9579       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      41.9579       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -23.0334     -16.2252       0.0000       0.0000       0.0000       0.0000
     74.0000       0.0000      42.7463       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      42.7463       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.5003       0.0000       0.0000       1.5003       0.0000       1.5003     -24.2658     -15.9764       0.0000       0.0000       0.0000       0.0000
